#           k/h    P           
    0.42098E-02    0.13273E+05
    0.42948E-02    0.13471E+05
    0.43816E-02    0.13670E+05
    0.44701E-02    0.13871E+05
    0.45604E-02    0.14073E+05
    0.46525E-02    0.14277E+05
    0.47465E-02    0.14482E+05
    0.48424E-02    0.14688E+05
    0.49402E-02    0.14896E+05
    0.50400E-02    0.15105E+05
    0.51419E-02    0.15315E+05
    0.52457E-02    0.15526E+05
    0.53517E-02    0.15738E+05
    0.54598E-02    0.15951E+05
    0.55701E-02    0.16164E+05
    0.56826E-02    0.16379E+05
    0.57974E-02    0.16594E+05
    0.59145E-02    0.16809E+05
    0.60340E-02    0.17025E+05
    0.61559E-02    0.17241E+05
    0.62803E-02    0.17458E+05
    0.64072E-02    0.17675E+05
    0.65366E-02    0.17891E+05
    0.66686E-02    0.18108E+05
    0.68033E-02    0.18324E+05
    0.69408E-02    0.18540E+05
    0.70810E-02    0.18756E+05
    0.72240E-02    0.18971E+05
    0.73700E-02    0.19185E+05
    0.75189E-02    0.19398E+05
    0.76708E-02    0.19610E+05
    0.78257E-02    0.19821E+05
    0.79838E-02    0.20031E+05
    0.81451E-02    0.20239E+05
    0.83096E-02    0.20445E+05
    0.84775E-02    0.20650E+05
    0.86488E-02    0.20852E+05
    0.88235E-02    0.21053E+05
    0.90017E-02    0.21250E+05
    0.91836E-02    0.21445E+05
    0.93691E-02    0.21638E+05
    0.95583E-02    0.21827E+05
    0.97514E-02    0.22013E+05
    0.99484E-02    0.22195E+05
    0.10149E-01    0.22374E+05
    0.10354E-01    0.22549E+05
    0.10564E-01    0.22720E+05
    0.10777E-01    0.22886E+05
    0.10995E-01    0.23048E+05
    0.11217E-01    0.23204E+05
    0.11443E-01    0.23356E+05
    0.11675E-01    0.23502E+05
    0.11910E-01    0.23643E+05
    0.12151E-01    0.23777E+05
    0.12397E-01    0.23906E+05
    0.12647E-01    0.24028E+05
    0.12902E-01    0.24143E+05
    0.13163E-01    0.24251E+05
    0.13429E-01    0.24352E+05
    0.13700E-01    0.24446E+05
    0.13977E-01    0.24531E+05
    0.14259E-01    0.24609E+05
    0.14547E-01    0.24678E+05
    0.14841E-01    0.24739E+05
    0.15141E-01    0.24790E+05
    0.15447E-01    0.24833E+05
    0.15759E-01    0.24866E+05
    0.16077E-01    0.24889E+05
    0.16402E-01    0.24903E+05
    0.16734E-01    0.24906E+05
    0.17072E-01    0.24899E+05
    0.17416E-01    0.24881E+05
    0.17768E-01    0.24852E+05
    0.18127E-01    0.24813E+05
    0.18493E-01    0.24762E+05
    0.18867E-01    0.24700E+05
    0.19248E-01    0.24626E+05
    0.19637E-01    0.24541E+05
    0.20034E-01    0.24444E+05
    0.20438E-01    0.24336E+05
    0.20851E-01    0.24215E+05
    0.21272E-01    0.24083E+05
    0.21702E-01    0.23939E+05
    0.22141E-01    0.23783E+05
    0.22588E-01    0.23615E+05
    0.23044E-01    0.23436E+05
    0.23510E-01    0.23245E+05
    0.23985E-01    0.23043E+05
    0.24469E-01    0.22830E+05
    0.24964E-01    0.22606E+05
    0.25468E-01    0.22372E+05
    0.25982E-01    0.22127E+05
    0.26507E-01    0.21873E+05
    0.27043E-01    0.21610E+05
    0.27589E-01    0.21338E+05
    0.28146E-01    0.21057E+05
    0.28715E-01    0.20769E+05
    0.29295E-01    0.20474E+05
    0.29887E-01    0.20173E+05
    0.30490E-01    0.19866E+05
    0.31106E-01    0.19554E+05
    0.31735E-01    0.19238E+05
    0.32376E-01    0.18918E+05
    0.33030E-01    0.18596E+05
    0.33697E-01    0.18273E+05
    0.34378E-01    0.17949E+05
    0.35072E-01    0.17625E+05
    0.35781E-01    0.17303E+05
    0.36504E-01    0.16982E+05
    0.37241E-01    0.16662E+05
    0.37993E-01    0.16344E+05
    0.38761E-01    0.16030E+05
    0.39544E-01    0.15722E+05
    0.40343E-01    0.15419E+05
    0.41158E-01    0.15125E+05
    0.41989E-01    0.14838E+05
    0.42838E-01    0.14560E+05
    0.43703E-01    0.14292E+05
    0.44586E-01    0.14033E+05
    0.45486E-01    0.13785E+05
    0.46405E-01    0.13546E+05
    0.47343E-01    0.13318E+05
    0.48299E-01    0.13099E+05
    0.49275E-01    0.12890E+05
    0.50270E-01    0.12690E+05
    0.51286E-01    0.12498E+05
    0.52322E-01    0.12314E+05
    0.53379E-01    0.12136E+05
    0.54457E-01    0.11965E+05
    0.55557E-01    0.11799E+05
    0.56680E-01    0.11638E+05
    0.57825E-01    0.11483E+05
    0.58993E-01    0.11345E+05
    0.60184E-01    0.11196E+05
    0.61400E-01    0.11047E+05
    0.62641E-01    0.10896E+05
    0.63906E-01    0.10741E+05
    0.65197E-01    0.10582E+05
    0.66514E-01    0.10416E+05
    0.67858E-01    0.10242E+05
    0.69229E-01    0.10060E+05
    0.70627E-01    0.98663E+04
    0.72054E-01    0.96623E+04
    0.73510E-01    0.94470E+04
    0.74994E-01    0.92207E+04
    0.76509E-01    0.89841E+04
    0.78055E-01    0.87380E+04
    0.79632E-01    0.84840E+04
    0.81241E-01    0.82237E+04
    0.82882E-01    0.79592E+04
    0.84556E-01    0.76925E+04
    0.86264E-01    0.74260E+04
    0.88007E-01    0.71619E+04
    0.89785E-01    0.69026E+04
    0.91598E-01    0.66504E+04
    0.93449E-01    0.64076E+04
    0.95337E-01    0.61765E+04
    0.97263E-01    0.59590E+04
    0.99227E-01    0.57570E+04
    0.10123E+00    0.55717E+04
    0.10328E+00    0.54037E+04
    0.10536E+00    0.52529E+04
    0.10749E+00    0.51188E+04
    0.10966E+00    0.49998E+04
    0.11188E+00    0.48939E+04
    0.11414E+00    0.47987E+04
    0.11644E+00    0.47114E+04
    0.11880E+00    0.46289E+04
    0.12120E+00    0.45479E+04
    0.12365E+00    0.44652E+04
    0.12614E+00    0.43773E+04
    0.12869E+00    0.42812E+04
    0.13129E+00    0.41747E+04
    0.13394E+00    0.40564E+04
    0.13665E+00    0.39267E+04
    0.13941E+00    0.37871E+04
    0.14223E+00    0.36403E+04
    0.14510E+00    0.34897E+04
    0.14803E+00    0.33389E+04
    0.15102E+00    0.31913E+04
    0.15407E+00    0.30503E+04
    0.15718E+00    0.29189E+04
    0.16036E+00    0.27995E+04
    0.16360E+00    0.26941E+04
    0.16690E+00    0.26032E+04
    0.17028E+00    0.25260E+04
    0.17371E+00    0.24605E+04
    0.17722E+00    0.24032E+04
    0.18080E+00    0.23505E+04
    0.18446E+00    0.22986E+04
    0.18818E+00    0.22441E+04
    0.19198E+00    0.21843E+04
    0.19586E+00    0.21174E+04
    0.19982E+00    0.20431E+04
    0.20386E+00    0.19625E+04
    0.20797E+00    0.18780E+04
    0.21218E+00    0.17929E+04
    0.21646E+00    0.17105E+04
    0.22083E+00    0.16339E+04
    0.22530E+00    0.15655E+04
    0.22985E+00    0.15065E+04
    0.23449E+00    0.14563E+04
    0.23923E+00    0.14130E+04
    0.24406E+00    0.13737E+04
    0.24899E+00    0.13357E+04
    0.25402E+00    0.12961E+04
    0.25915E+00    0.12534E+04
    0.26439E+00    0.12067E+04
    0.26973E+00    0.11570E+04
    0.27518E+00    0.11062E+04
    0.28074E+00    0.10567E+04
    0.28641E+00    0.10107E+04
    0.29219E+00    0.96955E+03
    0.29810E+00    0.93342E+03
    0.30412E+00    0.90139E+03
    0.31026E+00    0.87179E+03
    0.31653E+00    0.84280E+03
    0.32292E+00    0.81295E+03
    0.32945E+00    0.78159E+03
    0.33610E+00    0.74910E+03
    0.34289E+00    0.71676E+03
    0.34982E+00    0.68597E+03
    0.35689E+00    0.65764E+03
    0.36409E+00    0.63196E+03
    0.37145E+00    0.60848E+03
    0.37895E+00    0.58620E+03
    0.38661E+00    0.56409E+03
    0.39442E+00    0.54172E+03
    0.40239E+00    0.51926E+03
    0.41052E+00    0.49721E+03
    0.41881E+00    0.47629E+03
    0.42727E+00    0.45684E+03
    0.43590E+00    0.43872E+03
    0.44471E+00    0.42152E+03
    0.45369E+00    0.40470E+03
    0.46286E+00    0.38808E+03
    0.47221E+00    0.37180E+03
    0.48174E+00    0.35609E+03
    0.49148E+00    0.34123E+03
    0.50141E+00    0.32721E+03
    0.51153E+00    0.31381E+03
    0.52187E+00    0.30086E+03
    0.53241E+00    0.28822E+03
    0.54317E+00    0.27601E+03
    0.55414E+00    0.26431E+03
    0.56533E+00    0.25319E+03
    0.57675E+00    0.24255E+03
    0.58840E+00    0.23232E+03
    0.60029E+00    0.22242E+03
    0.61242E+00    0.21291E+03
    0.62479E+00    0.20379E+03
    0.63741E+00    0.19508E+03
    0.65029E+00    0.18673E+03
    0.66342E+00    0.17870E+03
    0.67683E+00    0.17097E+03
    0.69050E+00    0.16358E+03
    0.70445E+00    0.15649E+03
    0.71868E+00    0.14970E+03
    0.73320E+00    0.14319E+03
    0.74801E+00    0.13694E+03
    0.76312E+00    0.13095E+03
    0.77854E+00    0.12522E+03
    0.79426E+00    0.11972E+03
    0.81031E+00    0.11445E+03
    0.82668E+00    0.10940E+03
    0.84338E+00    0.10457E+03
    0.86041E+00    0.99940E+02
    0.87780E+00    0.95506E+02
    0.89553E+00    0.91259E+02
    0.91362E+00    0.87194E+02
    0.93208E+00    0.83304E+02
    0.95091E+00    0.79579E+02
    0.97011E+00    0.76014E+02
    0.98971E+00    0.72602E+02
    0.10097E+01    0.69337E+02
    0.10301E+01    0.66213E+02
    0.10509E+01    0.63225E+02
    0.10721E+01    0.60366E+02
    0.10938E+01    0.57631E+02
    0.11159E+01    0.55015E+02
    0.11384E+01    0.52514E+02
    0.11614E+01    0.50123E+02
    0.11849E+01    0.47837E+02
    0.12088E+01    0.45651E+02
    0.12333E+01    0.43562E+02
    0.12582E+01    0.41565E+02
    0.12836E+01    0.39656E+02
    0.13095E+01    0.37833E+02
    0.13360E+01    0.36090E+02
    0.13630E+01    0.34424E+02
    0.13905E+01    0.32833E+02
